Ortografia,Cat_Gram,Transcr_Fon,Molde_Sil,Num_Sil,VPret,Altura_VPret,Ponto_VPret,VTon,Altura_VTon,Ponto_VTon,VPost_NaoFinal,Altura_VPost,Ponto_VPost_NaoFinal,VPost_Final,Altura_VPost,Ponto_VPost_Final,RimaTon,Tipo_RimaTon,Acento,Prefixo,Raiz,Sufixo
fatia,nom,fa.tsh1i.ax,CV.C1V.V,3,a,Baixa,Central,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,fa.t,ia
inviabilizar,ver,iN.vi.a.bi.li.z1aR,VC.CV.V.CV.CV.C1VC,6,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,iN,vi,a.bil.iz.aR
tomate,nom,to.m1a.tshi,CV.C1V.CV,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,to.ma.t,e
coordenadora,nom,ko.oR.de.na.d1o.rax,CV.VC.CV.CV.C1V.CV,6,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,ko,ko.or.de.n,ad.oR.a
idioma,nom,i.dzhi.1o.max,V.CV.1V.CV,4,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,NA,i.di.o.m,a
alheio,adj,a.lh1ej.u,V.C1VG.V,3,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,a.Le.i,o
preparador,nom,pre.pa.ra.d1oR,CCV.CV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,pre.pa.r,ad.oR
aval,nom,a.v1aw,V.C1VG,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,a.v,al
pianista,nom,pi.6.n1is.tax,CV.V.C1VC.CV,4,6,Média-Alta,Central,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,pi.a.n,ist.a
aquecimento,nom,a.ke.si.m1eN.tu,V.CV.CV.C1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,a.ke.s,i.mento
bilheteria,nom,bi.lhe.te.r1i.ax,CV.CV.CV.C1V.V,5,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,bi.Le.t,eR.ia
curador,nom,ku.ra.d1oR,CV.CV.C1VC,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,ku.r,ad.oR
garagem,nom,ga.r1a.zhejN,CV.C1V.CVGC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,e,Média-Alta,Front,a,vogal_oral,paroxytone,NA,ga.r,ajem
habitar,ver,a.bi.t1aR,V.CV.C1VC,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,a.bi.t,aR
pronunciamento,nom,pro.nuN.si.a.m1eN.tu,CCV.CVC.CV.V.C1VC.CV,6,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,pro.nun.si,a.mento
conceitual,adj,koN.sej.tu.1aw,CVC.CVG.CV.1VG,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,kon.sei.t,u.al
penhora,nom,pe.nh1oh.rax,CV.C1V.CV,3,e,Média-Alta,Front,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,pe.N,oR.a
realismo,nom,he.a.l1iz.mu,CV.V.C1VC.CV,4,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,iS,coda_sibilante,paroxytone,NA,he,al.izmo
vital,adj,vi.t1aw,CV.C1VG,2,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,vi.t,al
concretizar,ver,koN.kre.tshi.z1aR,CVC.CCV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,kon.kre.t,iz.aR
enfatizar,ver,iN.fa.tshi.z1aR,VC.CV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,en.fa.t,iz.aR
utilidade,nom,u.tshi.li.d1a.dzhi,V.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,u.ti.l,i.dade
criada,nom,kri.1a.dax,CCV.1V.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,kri,ad.a
estranhar,ver,is.tr6.nh1aR,VC.CCV.C1VC,3,6,Média-Alta,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,es.tra.N,aR
fundamentar,ver,fuN.da.meN.t1aR,CVC.CV.CVC.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,fun.d,ament.aR
policiamento,nom,po.li.si.a.m1eN.tu,CV.CV.CV.V.C1VC.CV,6,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,po.li.si,a.mento
sagrar,ver,sa.gr1aR,CV.CC1VC,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,sa.gr,aR
ensaiar,ver,iN.saj.1aR,VC.CVG.1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,en.sa.i,aR
imediato,nom,i.me.dzhi.1a.tu,V.CV.CV.1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,i.me.di.a.t,o
premiar,ver,pre.mi.1aR,CCV.CV.1VC,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pre.m,i.aR
terror,nom,te.h1oR,CV.C1VC,2,e,Média-Alta,Front,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,te.h,oR
vaca,nom,v1a.kax,C1V.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,va.k,a
deserto,nom,de.z1ehR.tu,CV.C1VC.CV,3,e,Média-Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,ehR,coda_rotica,paroxytone,NA,de.zer.t,o
hospitalar,adj,os.pi.ta.l1aR,VC.CV.CV.C1VC,4,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,os.pi.t,al.aR
investigador,nom,iN.ves.tshi.ga.d1oR,VC.CVC.CV.CV.C1VC,5,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,in.ves.ti.g,ad.oR
molho,nom,m1o.lhu,C1V.CV,2,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,mo.L,o
verde,nom,v1eR.dzhi,C1VC.CV,2,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eR,coda_rotica,paroxytone,NA,ver.d,e
arco,nom,1aR.ku,1VC.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,u,Alta,Back,aR,coda_rotica,paroxytone,NA,ar.k,o
libra,nom,l1i.brax,C1V.CCV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,li.br,a
tenso,adj,t1eN.su,C1VC.CV,2,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,ten.s,o
verbo,nom,v1ehR.bu,C1VC.CV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,ehR,coda_rotica,paroxytone,NA,ver.b,o
acolher,ver,a.ko.lh1eR,V.CV.C1VC,3,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,a.ko.L,eR
epidemia,nom,e.pi.de.m1i.ax,V.CV.CV.C1V.V,5,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,e.pi.de.m,ia
copo,nom,k1oh.pu,C1V.CV,2,NA,NA,NA,oh,Média-Baixa,Back,NA,NA,NA,u,Alta,Back,oh,vogal_oral,paroxytone,NA,ko.p,o
desencadear,ver,de.zeN.ka.dzhi.1aR,CV.CVC.CV.CV.1VC,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,deS,en.ka.d,e.aR
detento,nom,de.t1eN.tu,CV.C1VC.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,de.t,ento
passarela,nom,pa.sa.r1eh.lax,CV.CV.C1V.CV,4,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,pa.sa.r,ela
distribuidora,nom,dzhis.tri.bu.i.d1o.rax,CVC.CCV.CV.V.C1V.CV,6,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,diS,tri.bu,id.oR.a
contundir,ver,koN.tuN.dzh1iR,CVC.CVC.C1VC,3,u,Alta,Back,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,kon.tun.d,iR
febre,nom,f1eh.bri,C1V.CCV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,i,Alta,Front,eh,vogal_oral,paroxytone,NA,fe.br,e
furto,nom,f1uR.tu,C1VC.CV,2,NA,NA,NA,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uR,coda_rotica,paroxytone,NA,fur.t,o
ingrediente,nom,iN.gre.dzhi.1eN.tshi,VC.CCV.CV.1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,in.gre.di.en.t,e
prevenir,ver,pre.vi.n1iR,CCV.CV.C1VC,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,pre.ve.n,iR
reino,nom,h1ej.nu,C1VG.CV,2,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,hei.n,o
animal,adj,a.ni.m1aw,V.CV.C1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,a.ni.m,al
bolo,nom,b1o.lu,C1V.CV,2,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,bo.l,o
cheiro,nom,sh1ej.ru,C1VG.CV,2,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,xei.r,o
dito,adj,dzh1i.tu,C1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,di.t,o
incidir,ver,iN.si.dzh1iR,VC.CV.C1VC,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,in.si.d,iR
posicionar,ver,po.zi.si.o.n1aR,CV.CV.CV.V.C1VC,5,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,po.zi.s,ioN.aR
altamente,adv,aw.ta.m1eN.tshi,VG.CV.C1VC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,al.t,a.mente
dotar,ver,do.t1aR,CV.C1VC,2,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,do.t,aR
envio,nom,iN.v1i.u,VC.C1V.V,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,en.vi,o
confuso,adj,koN.f1u.zu,CVC.C1V.CV,3,o,Média-Alta,Back,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,kon.fu.z,o
deslocamento,nom,dzhiz.lo.ka.m1eN.tu,CVC.CV.CV.C1VC.CV,5,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,des.lo.k,a.mento
governante,nom,go.veR.n16N.tshi,CV.CVC.C1VC.CV,4,e,Média-Alta,Front,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,go.ver.n,ante
liminar,adj,li.mi.n1aR,CV.CV.C1VC,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,li.mi.n,aR
quesito,nom,ke.z1i.tu,CV.C1V.CV,3,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,ke.zi.t,o
reitor,nom,hej.t1oR,CVG.C1VC,2,e,Média-Alta,Front,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,hei.t,oR
advogar,ver,a.dzhi.vo.g1aR,V.CV.CV.C1VC,4,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,ad,vo.g,aR
congressista,nom,koN.gre.s1is.tax,CVC.CCV.C1VC.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,kon.gre.s,ist.a
crucial,adj,kru.si.1aw,CCV.CV.1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,kru.s,i.al
tampouco,adv,t6N.p1ow.ku,CVC.C1VG.CV,3,6,Média-Alta,Central,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,ow,ditongo_oral,paroxytone,NA,tam.pou.k,o
tropical,adj,tro.pi.k1aw,CCV.CV.C1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,tro.p,ik.al
corretora,nom,ko.he.t1o.rax,CV.CV.C1V.CV,4,e,Média-Alta,Front,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,NA,ko.h,et.oR.a
restaurar,ver,hes.taw.r1aR,CVC.CVG.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,he,s.tau.r,aR
seguradora,nom,si.gu.ra.d1o.rax,CV.CV.CV.C1V.CV,5,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,NA,se.gu.r,ad.oR.a
susto,nom,s1us.tu,C1VC.CV,2,NA,NA,NA,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uS,coda_sibilante,paroxytone,NA,sus.t,o
terrestre,adj,te.h1ehs.tri,CV.C1VC.CCV,3,e,Média-Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,i,Alta,Front,ehS,coda_sibilante,paroxytone,NA,te.h,estre
errado,adj,e.h1a.du,V.C1V.CV,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,e.h,ad.o
ofender,ver,o.feN.d1eR,V.CVC.C1VC,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,o.fen.d,eR
procuradoria,nom,pro.ku.ra.do.r1i.ax,CCV.CV.CV.CV.C1V.V,6,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,pro.ku.r,ad.oR.i.a
alerta,nom,a.l1ehR.tax,V.C1VC.CV,3,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,ehR,coda_rotica,paroxytone,NA,a.ler.t,a
aprofundar,ver,a.pro.fuN.d1aR,V.CCV.CVC.C1VC,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,a.pro,fun.d,aR
atestar,ver,a.tes.t1aR,V.CVC.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,a.tes.t,aR
bando,nom,b16N.du,C1VC.CV,2,NA,NA,NA,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6N,coda_nasal,paroxytone,NA,ban.d,o
legitimidade,nom,le.zhi.tshi.mi.d1a.dzhi,CV.CV.CV.CV.C1V.CV,6,i,Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,le.j,itimi.dade
perfume,nom,peR.f1u.mi,CVC.C1V.CV,3,e,Média-Alta,Front,u,Alta,Back,NA,NA,NA,i,Alta,Front,u,vogal_oral,paroxytone,NA,per.fu.m,e
firma,nom,f1iR.max,C1VC.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iR,coda_rotica,paroxytone,NA,fir.m,a
rumor,nom,hu.m1oR,CV.C1VC,2,u,Alta,Back,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,hu.m,oR
tetro,adj,tshi.1a.tru,CV.1V.CCV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,te.tr,o
divino,adj,dzhi.v1i.nu,CV.C1V.CV,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,di.vi.n,o
quota,nom,ku.1oh.tax,CV.1V.CV,3,u,Alta,Back,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,ko.t,a
figurino,nom,fi.gu.r1i.nu,CV.CV.C1V.CV,4,u,Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,fi.gu.r,ino
instaurar,ver,iNs.taw.r1aR,VCC.CVG.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,ins.tau.r,aR
priorizar,ver,pri.o.ri.z1aR,CCV.V.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pri.o.r,iz.aR
reprimir,ver,he.pri.m1iR,CV.CCV.C1VC,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,he,pri.m,iR
acarretar,ver,a.ka.he.t1aR,V.CV.CV.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,a,ka.he.t,aR
espanhol,nom,is.p6.nh1ohw,VC.CV.C1VG,3,6,Média-Alta,Central,oh,Média-Baixa,Back,NA,NA,NA,NA,Baixa,NA,ohw,ditongo_oral,oxytone,NA,es.pa.N,ol
inverter,ver,iN.veR.t1eR,VC.CVC.C1VC,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,iN,ver.t,eR
remover,ver,he.mo.v1eR,CV.CV.C1VC,3,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,he,mo.v,eR
trajeto,nom,tra.zh1eh.tu,CCV.C1V.CV,3,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,tra.je.t,o
agitar,ver,a.zhi.t1aR,V.CV.C1VC,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,a.ji.t,aR
educativo,adj,e.du.ka.tsh1i.vu,V.CV.CV.C1V.CV,5,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,e.du.k,ativ.o
interrogar,ver,iN.te.ho.g1aR,VC.CV.CV.C1VC,4,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,in.te.ho.g,aR
racial,adj,ha.si.1aw,CV.CV.1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,ha.s,i.al
realista,adj,he.a.l1is.tax,CV.V.C1VC.CV,4,a,Baixa,Central,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,he.a.l,e.al.ist.a
acerca,adv,a.s1eR.kax,V.C1VC.CV,3,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,a,Baixa,Central,eR,coda_rotica,paroxytone,NA,a.ser.k,a
estabilidade,nom,is.ta.bi.li.d1a.dzhi,VC.CV.CV.CV.C1V.CV,6,i,Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,es.t,a.bil.idade
extenso,adj,is.t1eN.su,VC.C1VC.CV,3,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,ex.ten.s,o
receio,nom,he.s1ej.u,CV.C1VG.V,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,he.sei,o
vaso,nom,v1a.zu,C1V.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,va.z,o
mentir,ver,meN.tsh1iR,CVC.C1VC,2,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,men.t,iR
preparo,nom,pre.p1a.ru,CCV.C1V.CV,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,pre.pa.r,o
solar,adj,so.l1aR,CV.C1VC,2,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,so.l,aR
corso,adj,k1oR.su,C1VC.CV,2,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,oR,coda_rotica,paroxytone,NA,kor.s,o
habitual,adj,a.bi.tu.1aw,V.CV.CV.1VG,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,a.bi.t,u.al
tribo,nom,tr1i.bu,CC1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,tri.b,o
hospedagem,nom,os.pe.d1a.zhejN,VC.CV.C1V.CVGC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,e,Média-Alta,Front,a,vogal_oral,paroxytone,NA,os.pe.d,ajem
remessa,nom,he.m1eh.sax,CV.C1V.CV,3,e,Média-Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,he.me.s,a
armador,nom,aR.ma.d1oR,VC.CV.C1VC,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,ar.m,ad.oR
impedimento,nom,iN.pe.dzhi.m1eN.tu,VC.CV.CV.C1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,im.pe.d,i.mento
pioneiro,nom,pi.o.n1ej.ru,CV.V.C1VG.CV,4,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,pi.o.nei.r,o
transparente,adj,tr6Ns.pa.r1eN.tshi,CCVCC.CV.C1VC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,tranS,pa.r,ente
batata,nom,ba.t1a.tax,CV.C1V.CV,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,ba.ta.t,a
frequentemente,adv,fre.kweN.tshi.m1eN.tshi,CCV.CGVC.CV.C1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,fre.ku,ente.mente
motor,adj,mo.t1oR,CV.C1VC,2,o,Média-Alta,Back,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,mo.t,oR
pano,nom,p16.nu,C1V.CV,2,NA,NA,NA,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6,vogal_oral,paroxytone,NA,pa.n,o
vermelho,nom,veR.m1e.lhu,CVC.C1V.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,ver.me.L,o
anteceder,ver,6N.te.se.d1eR,VC.CV.CV.C1VC,4,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,ante,se.d,eR
checar,ver,she.k1aR,CV.C1VC,2,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,xe.k,aR
difundir,ver,dzhi.fuN.dzh1iR,CV.CVC.C1VC,3,u,Alta,Back,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,di,fun.d,iR
elementar,adj,e.le.meN.t1aR,V.CV.CVC.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,e.le.men.t,aR
faca,nom,f1a.kax,C1V.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,fa.k,a
neve,nom,n1eh.vi,C1V.CV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,i,Alta,Front,eh,vogal_oral,paroxytone,NA,ne.v,e
contrabando,nom,koN.tra.b16N.du,CVC.CCV.C1VC.CV,4,a,Baixa,Central,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6N,coda_nasal,paroxytone,kontra,ban.d,o
